,SocioEcon,GoodStudent,Age,RiskAversion,VehicleYear,Accident,ThisCarDam,RuggedAuto,MakeModel,Antilock,Mileage,DrivQuality,DrivingSkill,SeniorTrain,ThisCarCost,CarValue,Theft,AntiTheft,HomeBase,OtherCarCost,PropCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
0,1,1,1,1,0,0,0,1,2,0,0,1,1,1,0,1,1,1,2,0,1,0,0,3,0,0,0
1,1,1,2,3,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,1,0,3,1,0,0,1,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0
3,1,1,1,2,1,0,0,2,2,1,1,1,1,1,0,1,1,0,2,0,0,0,0,2,1,0,0
4,3,1,1,2,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,2
5,0,1,1,2,1,0,0,0,1,1,3,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0
6,1,1,0,1,1,0,0,1,2,1,1,1,1,1,0,0,1,1,2,0,1,0,0,2,0,0,1
7,0,1,2,3,1,3,3,0,1,1,1,0,0,0,1,0,1,0,1,2,2,1,2,0,1,1,0
8,2,1,1,3,0,0,0,2,3,0,2,1,1,1,0,3,1,0,0,0,0,0,0,3,0,0,0
9,1,1,1,2,1,0,0,2,2,1,1,1,1,1,0,1,1,0,3,0,0,0,0,2,1,0,0
10,0,1,1,2,1,2,2,0,1,1,2,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,2
11,2,1,2,3,0,0,0,0,0,0,1,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0
12,2,1,1,2,0,0,0,2,3,0,1,1,1,1,0,3,1,1,2,0,0,0,0,3,0,0,0
13,0,1,1,1,1,3,3,0,1,1,1,0,2,1,1,0,1,1,1,2,2,1,0,1,1,0,0
14,0,1,1,3,0,0,0,0,0,0,2,1,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0
15,1,1,1,0,0,0,0,0,0,0,1,2,1,1,0,2,1,1,0,0,0,1,0,1,0,0,2
16,0,1,1,2,0,0,0,2,2,1,1,1,1,1,0,2,1,1,1,0,0,0,0,3,0,0,0
17,0,1,0,3,1,3,3,0,1,1,2,0,0,1,0,0,1,0,1,2,2,1,1,0,1,0,0
18,1,1,1,3,1,1,1,1,2,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
19,0,1,1,3,1,0,0,0,1,1,2,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0
20,2,1,1,2,0,0,0,1,1,1,2,1,1,1,0,2,1,0,2,0,1,0,0,3,0,0,1
21,0,1,2,2,1,0,0,0,1,1,2,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0
22,2,1,0,2,1,0,0,1,2,1,1,1,1,1,0,0,1,0,2,0,0,0,0,2,1,0,2
23,0,1,1,2,0,2,2,0,1,1,2,0,0,1,1,1,1,1,1,1,2,1,0,1,0,1,2
24,1,1,2,3,0,1,1,1,2,1,2,2,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0
25,1,1,1,0,1,0,0,1,2,1,1,2,1,1,0,2,1,1,1,0,0,1,0,0,1,0,2
26,1,1,0,1,0,1,1,0,2,1,1,0,0,1,0,2,1,1,2,0,1,0,0,2,0,0,2
27,1,1,0,1,1,0,0,0,1,1,2,2,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0
28,0,1,0,1,1,0,0,1,1,1,2,1,1,1,0,0,1,1,1,0,0,1,0,2,1,0,2
29,2,1,2,1,1,0,0,0,3,0,0,2,2,1,0,3,1,1,3,0,0,0,0,0,0,0,0
30,0,1,0,2,1,0,0,0,1,1,1,0,0,1,0,0,1,1,2,0,0,0,0,0,1,0,2
31,1,1,0,1,0,3,3,0,0,0,2,0,0,1,2,2,1,1,3,2,2,0,2,0,0,0,2
32,1,1,1,2,1,0,0,1,2,1,1,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,2
33,1,1,1,3,1,0,0,2,2,1,2,1,1,1,0,2,1,0,0,0,0,0,0,2,1,0,0
34,1,1,1,2,0,0,0,0,2,1,1,1,1,1,0,2,1,1,0,0,0,0,0,2,0,0,0
35,0,1,2,3,1,0,0,0,1,1,2,2,1,0,0,0,1,0,3,0,0,1,0,0,1,0,0
36,0,1,2,3,1,0,0,0,1,1,2,2,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0
37,0,1,2,3,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
38,0,1,2,3,1,0,0,1,1,1,1,2,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0
39,0,1,2,2,1,0,0,0,1,1,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
40,1,1,1,2,1,0,0,1,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
41,1,1,1,2,1,1,1,2,2,1,2,0,0,1,0,0,1,1,2,0,1,0,0,2,1,0,2
42,2,1,1,1,1,2,2,0,0,1,2,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1
43,2,1,2,3,0,0,0,0,0,1,2,2,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0
44,1,1,1,2,1,0,0,1,2,1,0,1,1,1,0,2,1,0,2,0,0,0,0,1,1,0,0
45,0,1,1,3,0,0,0,0,0,0,1,1,1,1,0,2,1,0,1,0,0,1,0,0,0,0,0
46,0,1,1,2,0,3,3,1,1,1,1,0,0,1,1,1,1,1,1,2,2,0,0,3,0,0,2
47,1,1,1,2,1,0,0,0,0,1,2,0,0,1,0,0,1,0,3,0,0,1,0,1,1,0,2
48,1,1,0,1,1,3,3,2,2,1,1,0,1,1,1,1,1,1,2,1,1,0,0,2,1,0,1
49,1,1,1,2,1,0,0,1,2,1,1,2,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0
50,1,1,1,2,1,0,0,1,2,1,1,1,1,1,0,0,1,0,2,0,1,0,0,1,1,0,0
51,0,1,1,2,1,0,0,2,2,1,2,1,1,1,0,1,1,1,1,0,0,0,0,2,1,0,0
52,0,1,2,3,1,0,0,0,1,1,1,1,1,0,0,0,1,0,3,0,0,1,0,0,1,0,0
53,0,0,0,2,0,0,0,0,1,1,2,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
54,2,0,0,1,0,0,0,0,0,0,3,0,0,1,0,2,1,1,0,0,0,0,0,2,0,0,2
55,0,1,1,1,1,3,3,2,2,1,2,0,1,1,1,0,1,1,1,2,3,0,0,2,1,1,1
56,2,1,1,1,1,0,0,1,3,1,3,1,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1
57,0,1,2,3,0,0,0,1,1,1,1,1,1,0,0,1,1,0,3,0,0,0,0,2,0,0,0
