SocioEcon,GoodStudent,Age,RiskAversion,VehicleYear,Accident,ThisCarDam,RuggedAuto,MakeModel,Antilock,Mileage,DrivQuality,DrivingSkill,SeniorTrain,ThisCarCost,CarValue,Theft,AntiTheft,HomeBase,OtherCarCost,PropCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
Middle,False,Adult,Adventurous,Current,None,None,Football,FamilySedan,True,FiveThou,Normal,Normal,False,Thousand,TenThou,False,False,Suburb,Thousand,TenThou,True,Thousand,Excellent,True,Thousand,Zero
Middle,False,Senior,Cautious,Current,None,None,EggShell,Economy,False,FiftyThou,Normal,Normal,True,Thousand,TenThou,False,True,Secure,Thousand,Thousand,True,Thousand,Poor,True,Thousand,Zero
Middle,False,Adolescent,Cautious,Older,None,None,Football,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,TenThou,False,True,Secure,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
Middle,False,Adult,Normal,Older,None,None,Tank,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,TenThou,False,True,Suburb,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
Wealthy,False,Adult,Normal,Current,None,None,EggShell,SportsCar,True,FiveThou,Normal,Normal,False,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Poor,True,Thousand,Many
Prole,False,Adult,Normal,Older,None,None,EggShell,Economy,False,Domino,Normal,Normal,False,Thousand,FiveThou,False,True,City,Thousand,Thousand,False,Thousand,Fair,False,Thousand,Zero
Middle,False,Adolescent,Adventurous,Older,None,None,Football,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,FiveThou,False,False,Suburb,Thousand,TenThou,True,Thousand,Good,True,Thousand,One
Prole,False,Senior,Cautious,Older,Severe,Severe,EggShell,Economy,False,TwentyThou,Poor,SubStandard,True,TenThou,FiveThou,False,True,City,HundredThou,HundredThou,False,HundredThou,Poor,False,TenThou,Zero
UpperMiddle,False,Adult,Cautious,Current,None,None,Tank,Luxury,True,FiftyThou,Normal,Normal,False,Thousand,FiftyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
Middle,False,Adult,Normal,Older,None,None,Tank,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,TenThou,False,True,Rural,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
Prole,False,Adult,Normal,Older,Moderate,Moderate,EggShell,Economy,False,FiftyThou,Poor,SubStandard,False,TenThou,FiveThou,False,False,City,Thousand,TenThou,False,Thousand,Fair,False,Thousand,Many
UpperMiddle,False,Senior,Cautious,Current,None,None,EggShell,SportsCar,True,TwentyThou,Excellent,Expert,True,Thousand,TwentyThou,False,True,Secure,Thousand,TenThou,True,Thousand,Poor,True,Thousand,Zero
UpperMiddle,False,Adult,Normal,Current,None,None,Tank,Luxury,True,TwentyThou,Normal,Normal,False,Thousand,FiftyThou,False,False,Suburb,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
Prole,False,Adult,Adventurous,Older,Severe,Severe,EggShell,Economy,False,TwentyThou,Poor,Expert,False,TenThou,FiveThou,False,False,City,HundredThou,HundredThou,False,Thousand,Fair,False,Thousand,Zero
Prole,False,Adult,Cautious,Current,None,None,EggShell,SportsCar,True,FiftyThou,Normal,Normal,False,Thousand,TwentyThou,False,True,City,Thousand,TenThou,True,Thousand,Poor,True,Thousand,Zero
Middle,False,Adult,Psychopath,Current,None,None,EggShell,SportsCar,True,TwentyThou,Excellent,Normal,False,Thousand,TwentyThou,False,False,Secure,Thousand,Thousand,False,Thousand,Fair,True,Thousand,Many
Prole,False,Adult,Normal,Current,None,None,Tank,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,TwentyThou,False,False,City,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
Prole,False,Adolescent,Cautious,Older,Severe,Severe,EggShell,Economy,False,FiftyThou,Poor,SubStandard,False,Thousand,FiveThou,False,True,City,HundredThou,HundredThou,False,TenThou,Poor,False,Thousand,Zero
Middle,False,Adult,Cautious,Older,Mild,Mild,Football,FamilySedan,False,Domino,Poor,SubStandard,False,Thousand,FiveThou,False,True,Secure,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
Prole,False,Adult,Cautious,Older,None,None,EggShell,Economy,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,True,City,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
UpperMiddle,False,Adult,Normal,Current,None,None,Football,Economy,False,FiftyThou,Normal,Normal,False,Thousand,TwentyThou,False,True,Suburb,Thousand,TenThou,True,Thousand,Excellent,True,Thousand,One
Prole,False,Senior,Normal,Older,None,None,EggShell,Economy,False,FiftyThou,Normal,Normal,True,Thousand,FiveThou,False,False,City,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
UpperMiddle,False,Adolescent,Normal,Older,None,None,Football,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,FiveThou,False,True,Suburb,Thousand,Thousand,True,Thousand,Good,False,Thousand,Many
Prole,False,Adult,Normal,Current,Moderate,Moderate,EggShell,Economy,False,FiftyThou,Poor,SubStandard,False,TenThou,TenThou,False,False,City,TenThou,HundredThou,False,Thousand,Fair,True,TenThou,Many
Middle,False,Senior,Cautious,Current,Mild,Mild,Football,FamilySedan,False,FiftyThou,Excellent,Normal,True,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
Middle,False,Adult,Psychopath,Older,None,None,Football,FamilySedan,False,TwentyThou,Excellent,Normal,False,Thousand,TwentyThou,False,False,City,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Many
Middle,False,Adolescent,Adventurous,Current,Mild,Mild,EggShell,FamilySedan,False,TwentyThou,Poor,SubStandard,False,Thousand,TwentyThou,False,False,Suburb,Thousand,TenThou,True,Thousand,Good,True,Thousand,Many
Middle,False,Adolescent,Adventurous,Older,None,None,EggShell,Economy,False,FiftyThou,Excellent,Normal,False,Thousand,FiveThou,False,False,City,Thousand,TenThou,True,Thousand,Fair,False,Thousand,Zero
Prole,False,Adolescent,Adventurous,Older,None,None,Football,Economy,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,False,City,Thousand,Thousand,False,Thousand,Good,False,Thousand,Many
UpperMiddle,False,Senior,Adventurous,Older,None,None,EggShell,Luxury,True,FiveThou,Excellent,Expert,False,Thousand,FiftyThou,False,False,Rural,Thousand,Thousand,True,Thousand,Poor,True,Thousand,Zero
Prole,False,Adolescent,Normal,Older,None,None,EggShell,Economy,False,TwentyThou,Poor,SubStandard,False,Thousand,FiveThou,False,False,Suburb,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Many
Middle,False,Adolescent,Adventurous,Current,Severe,Severe,EggShell,SportsCar,True,FiftyThou,Poor,SubStandard,False,HundredThou,TwentyThou,False,False,Rural,HundredThou,HundredThou,True,HundredThou,Poor,True,Thousand,Many
Middle,False,Adult,Normal,Older,None,None,Football,FamilySedan,False,TwentyThou,Poor,SubStandard,False,Thousand,FiveThou,False,True,Suburb,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Many
Middle,False,Adult,Cautious,Older,None,None,Tank,FamilySedan,False,FiftyThou,Normal,Normal,False,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
Middle,False,Adult,Normal,Current,None,None,EggShell,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,TwentyThou,False,False,Secure,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
Prole,False,Senior,Cautious,Older,None,None,EggShell,Economy,False,FiftyThou,Excellent,Normal,True,Thousand,FiveThou,False,True,Rural,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
Prole,False,Senior,Cautious,Older,None,None,EggShell,Economy,False,FiftyThou,Excellent,Expert,True,Thousand,FiveThou,False,True,City,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
Prole,False,Senior,Cautious,Current,None,None,EggShell,Economy,False,TwentyThou,Normal,Normal,True,Thousand,FiveThou,False,True,City,Thousand,TenThou,False,Thousand,Poor,True,Thousand,Zero
Prole,False,Senior,Cautious,Older,None,None,Football,Economy,False,TwentyThou,Excellent,Normal,True,Thousand,TenThou,False,True,City,Thousand,Thousand,False,Thousand,Fair,False,Thousand,Zero
Prole,False,Senior,Normal,Older,None,None,EggShell,Economy,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,True,City,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
Middle,False,Adult,Normal,Older,None,None,Football,Economy,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,True,Secure,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
Middle,False,Adult,Normal,Older,Mild,Mild,Tank,FamilySedan,False,FiftyThou,Poor,SubStandard,False,Thousand,FiveThou,False,False,Suburb,Thousand,TenThou,True,Thousand,Good,False,Thousand,Many
UpperMiddle,False,Adult,Adventurous,Older,Moderate,Moderate,EggShell,SportsCar,False,FiftyThou,Poor,Normal,False,TenThou,FiveThou,False,False,Secure,Thousand,TenThou,True,Thousand,Poor,False,Thousand,One
UpperMiddle,False,Senior,Cautious,Current,None,None,EggShell,SportsCar,False,FiftyThou,Excellent,Normal,True,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Fair,True,Thousand,Zero
Middle,False,Adult,Normal,Older,None,None,Football,FamilySedan,False,FiveThou,Normal,Normal,False,Thousand,TwentyThou,False,True,Suburb,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
Prole,False,Adult,Cautious,Current,None,None,EggShell,SportsCar,True,TwentyThou,Normal,Normal,False,Thousand,TwentyThou,False,True,City,Thousand,Thousand,False,Thousand,Poor,True,Thousand,Zero
Prole,False,Adult,Normal,Current,Severe,Severe,Football,Economy,False,TwentyThou,Poor,SubStandard,False,TenThou,TenThou,False,False,City,HundredThou,HundredThou,True,Thousand,Excellent,True,Thousand,Many
Middle,False,Adult,Normal,Older,None,None,EggShell,SportsCar,False,FiftyThou,Poor,SubStandard,False,Thousand,FiveThou,False,True,Rural,Thousand,Thousand,False,Thousand,Fair,False,Thousand,Many
Middle,False,Adolescent,Adventurous,Older,Severe,Severe,Tank,FamilySedan,False,TwentyThou,Poor,Normal,False,TenThou,TenThou,False,False,Suburb,TenThou,TenThou,True,Thousand,Good,False,Thousand,One
Middle,False,Adult,Normal,Older,None,None,Football,FamilySedan,False,TwentyThou,Excellent,Expert,False,Thousand,TenThou,False,False,Secure,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
Middle,False,Adult,Normal,Older,None,None,Football,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,FiveThou,False,True,Suburb,Thousand,TenThou,True,Thousand,Fair,False,Thousand,Zero
Prole,False,Adult,Normal,Older,None,None,Tank,FamilySedan,False,FiftyThou,Normal,Normal,False,Thousand,TenThou,False,False,City,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
Prole,False,Senior,Cautious,Older,None,None,EggShell,Economy,False,TwentyThou,Normal,Normal,True,Thousand,FiveThou,False,True,Rural,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
Prole,True,Adolescent,Normal,Current,None,None,EggShell,Economy,False,FiftyThou,Normal,Normal,False,Thousand,TenThou,False,False,City,Thousand,Thousand,False,Thousand,Poor,True,Thousand,Zero
UpperMiddle,True,Adolescent,Adventurous,Current,None,None,EggShell,SportsCar,True,Domino,Poor,SubStandard,False,Thousand,TwentyThou,False,False,Secure,Thousand,Thousand,True,Thousand,Good,True,Thousand,Many
Prole,False,Adult,Adventurous,Older,Severe,Severe,Tank,FamilySedan,False,FiftyThou,Poor,Normal,False,TenThou,FiveThou,False,False,City,HundredThou,Million,True,Thousand,Good,False,TenThou,One
